zulu,english
ncoma,proclaim
ndawonye,together
ndiza,fly
nenhle,elegant
nesibindi,fearless
neze,never
ngakho,therefore
ngamazwe ngamazwe,In international
ngamunye,each
nganaki,ignore
ngani,why
ngaphakathi,inwards
ngaphambili,front
ngaphandle,exterior
ngaphansi,below
ngcono,improved
ngempumelelo,effectively
ngemuva,after
ngemva,behind
ngemva kwalokho,after that
ngenhla,above
ngezansi,down
ngifuna ukwazi,I want to know
ngingekho,I'm not
ngiya,I am going
ngiyabonga,thank you
Ngiyacela,Please
ngoba,because
ngokonakala,sinful
ngokoqobo,literally
ngokulangazela,descitive
ngokumelene,against
ngokuphelele,completely
ngokuqhubekayo,continuously
ngokushesha,quickly
ngokuvamile,generally
ngokuzumayo,suddenly
ngokwakho,yourself
ngokwanele,enough
ngokwengqondo,mentally
ngokwengxenye,partially
ngokwezifiso,customize
ngomumo,ready
ngqo,exactly
nikela,devote
nini,when
njalo,ever
nje,now
nolwazi,and information
noma,or
noma kuphi,anywhere
noma ubani,anybody
noma yikuphi,any
noma yini,anything else
nothando,and love
nqaba,object
nqabela,bar
nqoba,conquer
nqunu,naked
nsuku zonke,every day
ntambama,noon
ntambo,thread
ntanta,float
nxazonke,around
nzima,hard
obala,openly
obucayi,delicate
obukhulu,thick
ocebile,rich
odla imifino,who eats vegetables
odumile,famous
ohlangothini,side
okokugcina,last
okokuhlaziya,obscene
okokwenziwa,default
okubalulekile,Important
okubi,grim
okubi kakhulu,even worse
okubuhlungu,tragic
okufanayo,same
okufinyelelekayo,accessible
okugxekayo,critical
okulindile,pending
okumnandi,delicious
okunamathiselwe,attachment
okungajwayelekile,unusual
okungalungile,wrong
okungenzeka,probability
okunye,else
okuphakathi,medium
okuphambene,contrary
okuqinile,steady
okusanhlamvu,grain
okusemthethweni,formal
okusha,new
okuthile,something
okuxubile,mixture
okuyimfihlo,confidential
okuzenzakalelayo,default
okwakamuva,latest
okwakho,yours
okwami,For my
okwangempela,real
okwaphezulu,The highest
okwengeziwe,additional
okwenzekayo,occasion
okwesikhashana,for a while
Olandelayo,Next
olungaphambili lwesonto,front of the week
omdala,elder
omile,dry
oncike,lean
ongashadile,singular
ongathembekile,unfaithful
ongcolile,unclean
ongcwele,Holy
ophingayo,adulterous
oqalayo,beginner
osemusha,teen
othintana naye,contact
owesifazane,woman
owinile,winners
owomdabu,indigenous
penguin,penguin
phakamisa,raise
phakathi,inside
phambili,forward
phansi,down
phaphama,awake
phatha,manage
phawula,brand
phazamisa,interrupt
phelezela,accompany
phenduka,rotate
phendula,answer
pheqa,fold
phezulu,up
phinda,repeat
phoqa,dictate
phuma,exit
phumula,retire
phuza,drink
positive,positive
Psychology,Psychology
qala,start
qaphela,watch
qasha,lease
qeda,complete
qhaqhazela,vibrate
qhathanisa,match
qhubeka,continue
qinisekisa,ensure
qoqa,collect
qotho,righteous
qwashisa,alert
rhona,rhona
sage,sage
sebenza,operate
sebenzisa,spend
sekwephuzile,late
sesha,search
shayela,brush
shintsha,change
sina,dance
siyakuhalalisela,Congratulations
siza,help
sobala,simplify
social,Social
sondela,advance
sondeza,libel
sungula,establish
susa,move
thamela,attend
thatha,take
thenga,purchase
thengisa,demonstrate
thola,find
thumba,kidnap
thumela,send
thuthukisa,improve
thwala,abduct
tshela,inform
u-anyanini,Aneni
ubhekilanga,sunflower
ubisi,milk
ubizo,vocation
ububanzi,extent
ubuchopho,brain
ubucwebe,jewelery
ubude,length
ubude besikhathi,time frame
ubugebengu,crime
ubuhlungu,pain
ubukhazikhazi,illumination
ubukhosi,supremacy
ubulungisa,Justice
ubumfihlo,Privacy is privacy
ubumnandi,sweetness
ubumpofu,poverty
ubuncane,minimum
ubunikazi,ownership
ubuningi,abundance
ubuntatheli,journalism
ubuntombi,virst
ubusha,youth
ubusika,winter
ubuso,feature
ubuthi,poisoning
ucwaningo,research
udaba,issue
udlame,violence
udokotela wamazinyo,dentist
udonga,ravine
udumo,honor
ufudu,tortoise
ufulawa,flour
ugaliki,garip
ugqozi,enthusiasm
uguquko,change
uhambo,journey
uhlanga,group
uhlelo,program
uhlelo lolimi,grammar
uhulumeni,government
ujabulele,enjoy
uju,honey
uketshezi,liquid
ukhohliwe,forgotten
ukholo,faith
ukhozi,eagle
ukhukhamba,cucumbers
ukhukhunathi,coconut
ukhulelwe,conceived
ukhuni,wood
ukolweni,wheat
ukongiwa kwemvelo,conservation
ukopha,bleeding
ukubaluleka,importance
ukubamba iqhaza,participation
ukubambezela,delay
ukubambisana,cooperation
ukubekezela,patience
ukubhala,writing
ukubhaliswa,registration
ukubingelela,salute
ukubola,decay
ukubonakala,appearance
ukubuyekeza,revision
ukuchayeka,exposure
ukuchelela,irrigation
ukucindezeleka,depression
ukucunula,irritation
ukudalula,disclosure
ukudideka,confusion
ukudla,food
ukudlulisa,appeal
ukudweba,scratch
ukufa,sickness
ukufika,arrival
ukufuna,want
ukufunda,reading
ukugebenga,rash
ukugeza,wash
ukugoma,immune
ukugunyazwa,Authorization
ukuguqulwa,variation
ukuhamba,walk
ukuhambisana,compliance
ukuheha,attract
ukuhlalisa,maintenance
ukuhlanganisa,unification
ukuhlanza,cleaning
ukuhlanzwa,cleansing
ukuhlasela,raid
ukuhleleka,order
ukuhlola,examination
ukuhlolwa,examination
ukuhlonza,identification
ukuhlukahluka,vary
ukuhlukaniswa,classification
ukuhoxa,withdrawal
ukuhumusha,translation
ukuhwamuka,evasion
ukukhangwa,applied
ukukhathazeka,anxiety
ukukhiqiza,generation
ukukhiqiza kabusha,re-producing
ukukhonza,worship
ukukhula,increase
ukukhushulwa,promotion
ukukhwabanisa,fraud
ukulandisa,narration
ukulangazelela,longing
ukulawula,control
ukulethwa,delivery
ukulima,farming
ukulinganisa,measurement
ukulinganisela,moderation
ukulondolozwa,preservation
ukululama,recovery
ukulungisa,repair
ukulungiselela,preparation
ukulungisiswa,justification
ukumangala,amazement
ukumuncwa,concentration
ukunaka,concern
ukunakekela,care
ukunambitha,taste
ukunambitheka,taste
ukuncintisana,competition
ukunemba,accuracy
ukunethezeka,luxury
ukungabi namathuba,Lack of opportunities
ukunganakwa,apathy
ukungavumeli,disapproval
ukungcola,dirt
ukungena,entry
ukungezwani,difference
ukungqubuzana,collision
ukunqoba,victory
ukunqotshwa,defeat
ukuntula,want
ukuphatha,touch
ukuphela,expiration
ukuphelelwa amanzi emzimbeni,losing water
ukuphelelwa yisikhathi,expiry
ukuphelezela,accompanying
ukuphepha,safety
ukuphikisana,controversy
ukuphila,life
ukuqaphela,awareness
ukuqedwa,termination
ukuqephuza,arrogance
ukuqeqeshwa,training
ukuqokwa,appointment
ukuqwashisa,awareness
ukusebenza,operation
ukusebenza kahle,efficiency
ukusekela,support
ukushintshana,exchange
ukushintshashintsha,fluctuate
ukushisa,heat
ukusiqhenya,proud
ukusungulwa,establishment
ukuthekelisa,export
ukuthenga,buy
ukutholakala,availability
ukuthula,peace
ukutuswa,informal
ukuvakasha,tourism
ukuvula,opening
ukuvuma,consent
ukuvutha,blink
ukuvuvukala,swelling
ukuxhumana,communication
ukuya esikhathini,menstruation
ukuzala,breed
ukuzalwa,birth
ukuzethemba,confidence
ukuzibulala,suicide
ukuzihlangula,reverence
ukuzijabulisa,entertainment
ukuzinikela,devotion
ukuziphatha,behavior
ukuziphendukela kwemvelo,evolution
ukuziphindiselela,retribution
ukuziqhenya,pride
ukuzisola,repentance
ukuzivalela,shut
ukuzivikela,Protection
ukuzivocavoca,Exercise
ukuzwa,sense
ukwabelana,communion
ukwahlukanisa,divorce
ukwakha,construction
ukwakhiwa,construction
ukwanda,increase
ukwaneliseka,satisfaction
ukwazisa,notification
ukwehluleka,failure
ukwelashwa,treatment
ukwengeza,confirm
ukwenyanya,disgust
ukwenza,performance
ukwenziwa,execution
ukwesaba,fear
ukwethemba,confidence
ulaka,wrath
ulimi,language
ulwandle,ocean
ulwazi,knowledge
umakhi,builder
umakoti,bride
umama,mother
umanyolo,fertilizer
umatasatasa,you are busy
umbala,color
umbhali,author
umbhalo,writing
umbhangqwana,couple
umbono,opinion
umbukiso,exhibition
umbuso,government
umcebo,affluence
umcibisholo,arrow
umcimbi,event
umculi,musician
umculo,music
umdala,elder
umdansi,dancer
umdanso,dance
umdlavuza,cancer
umfakisicelo,applicant
umfaniswano,uniform
umfuduki,sentiment
umfundi,student
umgodi,cavity
umgoqo,bar
umhlaba,territory
umhlalaphansi,retirement
umhlanganyeli,participant
umhlatshelo,victim
umhlobiso,decoration
umholi,leader
umhubhe,avenue
umhwamuko,vapor
umiyane,mosquito
umkhankaso,campaign
umkhathi,space
umkhawulo,limit
umkhonyovu,scam
umkhosi,festival
umkhuba,practice
umlando,history
umlawuli,manager
umlenze,leg
umlomo,mouth
ummbila,corn
ummeli,lawyer
ummese,knife
umnakekeli,guardian
umndeni,family
umngane,friend
umnikazi,banker
umnikelo,offer
umnotho,wealth
umnyango,department
umoba,cane
umona,envy
umonakalo,harm
umoya,spirit
umphakathi,community
umphathi,commander
umpheme,screen
umphetho,hem
umphimbo,throat
Umphumela,Result
umsebenzi,work
umshado,wedding
umshana,nephew
umshwalense,insurance
umsindo,noise
umsipha,muscle
umsoco,nutrient
umthambeka,slope
umthambo,fiber
umthandazo,prayer
umthelela,import
umthengi,buyer
umthethosisekelo,constitution
umthwali,carrier
umucu,fiber
umugqa,line
umumo,state
umuntu,person
umuntu ngamunye,each
umusa,kindness
umusho,sentence
umusi,steam
umuthi,wood
umxolisi,porlo
umxoxi,interview
umyalezo,message
umyalo,command
umyeni,husband
umzabalazo,struggle
umzali,parent
umzamo,effort
undlunkulu,sparrow
unkosikazi,wife
unkulunkulu,God
unogada,watchman
unogwaja,rabbit
unolwazi,informed
uphenyo,investigation
upholi,parrot
uprofesa,professor
uqobo,himself
usathane,devil
usawoti,salt
usayizi,size
usizo,help
usomabhizinisi,businessman
usuku,day
usuku lokuzalwa,birthday
uthando,love
uthisha,teacher
uthuli,dust
utshani,grass
uvalo,fright
uvemvane,butterfly
uvolo,wool
uxolo,peace
uyazi,you know
uyaziqhenya,she is proud
uzamcolo,flood
uzwelo,feeling
vacuum,vacuum
vakashela,visit
vala,close
vase,vase
Veza,Produce
vimbela,prevent
vuka,arise
vuma,confess
vumela,allow
vumelanisa,match
vutha,glow
wahamba,he went
wamukelekile,you are welcome
wazalwa,he was born
wazama,he tried
wena,you
womuntu,man
woza,come
wusizo,useful
xhuma,join
xoxisana,communicate
xwayisa,alert
yazisa,inform
yebo,yes
yedwa,solitary
yeka,cease
yemvelo,natural
yena,he
yenza,conduct
yigugu,precious
yima,stop
yizwa,perceive
yonke indawo,all over
zama,try
zasendle,awn
zenzeka,occur
zibabaza,they admire
zibuze,ask yourself
zikhona,are there
ziphathe kabi,behave
zonke,general
zungeza,circle
