zulu,english
namathisela,attach
okunamathiselwe,attachment
ukuhlasela,raid
umzamo,effort
thamela,attend
ukunaka,concern
isimo sengqondo,Attitude
ummeli,lawyer
ukuheha,attract
ukukhangwa,applied
isici,fault
izethameli,audience
igunya,responsibility
okuzenzakalelayo,default
etholakalayo,available
isilinganiso,measure
ezondiza,it will fly
gwema,avoid
phaphama,awake
uyazi,you know
ukuqwashisa,awareness
ingane,child
emuva,back
emuva,back
kubi,worse
bhaka,bake
impandla,balc
ibhola,ball
ibhandishi,bandage
ibhanga,bank
amaxolo,bones?
isiphithiphithi,confusion
umgoqo,bar
ukugeza,wash
enhle,beautiful
ngoba,because
isithombo sebhitrudi,beet
ngaphambili,front
qala,start
oqalayo,beginner
ukuziphatha,behavior
ngemuva,after
ngezansi,down
goba,tame
inzuzo,profit
best,best
kangcono,better
phakathi,inside
enkulu,major
inyoni,fowl
ukuzalwa,birth
usuku lokuzalwa,birthday
ukopha,bleeding
igazi,blood
nesibindi,fearless
ithambo,bone
incwadi,book
wazalwa,he was born
boleka,borrow
kokubili,both
phansi,down
ubuchopho,brain
letha,bring
ephukile,broken
isabelomali,budget
ukwakha,construction
isakhiwo,structure
eyakhelwe,built
umatasatasa,you are busy
uvemvane,butterfly
thenga,purchase
iklabishi,cabbage
linganisa,compare
shayela,brush
ezolile,calm
ikamela,camel
umkhankaso,campaign
umsele,trench
khansela,cancel
umdlavuza,cancer
ikhandidethi,protector
bamba,catch
ukunakekela,care
qaphela,watch
inqola,coach
umthwali,carrier
isaqathe,carrot
thwala,abduct
izinkomo,cattle
gubha,celebrate
ikhulu leminyaka,century
ezithile,certain
isitifiketi,certificate
inselele,The Challenge
igumbi,room
isahluko,chapter
uthando,love
ezishibhile,Cheap
khohlisa,fake
hlola,survey
isifuba,chest
izingane,Children
i-chloroform,chloroform
Faka isicelo,Claim
ukuhlukaniswa,classification
ihlanzekile,clean
cacile,capile
cleavage,Cleavage
isimo sezulu,weather
khuphuka,rise
vala,close
indwangu,cloth
ifu,cloud
ukhukhunathi,coconut
qoqa,collect
ekolishi,college
umbala,color
ukuvutha,blink
woza,come
induduzo,comfort
umyalo,command
phawula,brand
ikhomishini,commission
evamile,general
ukuxhumana,communication
inkampani,company
qhathanisa,match
uzwelo,feeling
phoqa,dictate
ukuncintisana,competition
ephelele,perfect
impoqo,force
umqondo,mind
ukukhathazeka,anxiety
isiphetho,conclusion
ukuziphatha,behavior
ubuthi,poisoning
ukuzethemba,confidence
qinisekisa,ensure
ukuhambisana,compliance
ukudideka,confusion
siyakuhalalisela,Congratulations
xhuma,join
unolwazi,informed
ukongiwa kwemvelo,conservation
gcina,retain
cabangela,speculate
umthethosisekelo,constitution
ukwakhiwa,construction
umthengi,buyer
othintana naye,contact
qhubeka,continue
umnikelo,offer
ukulawula,control
guqula,change
ukubambisana,cooperation
ikhona,corner
inkampani,company
kulungile,okay
inkohlakalo,corruption
izindleko,cost
imvunulo,dress
ikotishi,cottage
izwe,territory
umbhangqwana,couple
isibindi,courage
inkambo,career
dala,cause
ubugebengu,crime
isigebengu,bandit
okugxekayo,critical
ingwenya,crocodile
igwababa,crow
isixuku,group
umqhele,crown
khala,cry
ikhukhamba,cucumber
ukulima,farming
ilukuluku,enthusiasm
ngifuna ukwazi,I want to know
ngokwezifiso,customize
muhle,beautiful
nsuku zonke,every day
idamu,dam
umonakalo,harm
umdanso,dance
umdansi,dancer
Ingozi,Risk
kuyingozi,it is dangerous
nesibindi,fearless
mnyama,black
usuku,day
indodakazi,daughter
deal,deal
ukufa,sickness
ishumi leminyaka,decade
ukubola,decay
isinqumo,verdict
memezela,proclaim
umhlobiso,decoration
nciphisa,decrease
ukuzinikela,devotion
ukunqotshwa,defeat
ukuzivikela,Protection
ukuntula,want
incazelo,meaning
ukuphelelwa amanzi emzimbeni,losing water
ukubambezela,delay
susa,move
obucayi,delicate
okumnandi,delicious
ukulethwa,delivery
inkohliso,deceit
ukufuna,want
intando yeningi,the majority
udokotela wamazinyo,dentist
umnyango,department
oncike,lean
idiphozi,deposit
ukucindezeleka,depression
chaza,explain
isifiso,longing
naphezu,despite
isiphetho,conclusion
bhubhisa,annihilate
imininingwane,data
thuthukisa,improve
usathane,devil
isichazamazwi,dictionary
fa,die
ukudla,food
ezahlukene,different
nzima,hard
isidlo sakusihlwa,dinner
engcolile,dirty
ukungabi namathuba,Lack of opportunities
angivumelani,I disagree
ukungavumeli,disapproval
isiyalo,discipline
ukuzihlangula,reverence
ukudalula,disclosure
yeka,cease
ukutholakala,availability
ingxoxo,conversation
isifo,disease
isitsha,utensil
ongathembekile,unfaithful
isibonisi,indication
phazamisa,interrupt
ukuhlukahluka,vary
okwaphezulu,The highest
yenza,conduct
imbongolo,donkey
umnyango,department
kabili,twice
phansi,down
gqoka,wear
phuza,drink
shayela,brush
omile,dry
impinda,repetition
ubude besikhathi,time frame
uthuli,dust
hlala,abide
ubukhosi,supremacy
ngamunye,each
ngokulangazela,descitive
ngokulangazela,descitive
ukhozi,eagle
indlebe,ear
kusenesikhathi,early
zuza,acquire
abaholayo,those who take the lead
umhlaba,territory
kulula,easy
dla,enjoy
kuyadliwa,eaten
imvelo,nature
ezomnotho,economic
umnotho,wealth
umphetho,hem
ezidliwayo,what they are eaten
uhlelo,program
fundisa,preach
imfundo,education
umphumela,result
ngempumelelo,effectively
ukusebenza kahle,efficiency
iqanda,egg
noma,or
umdala,elder
nenhle,elegant
indlovu,elephant
kufanelekile,appropriate
ukuqedwa,termination
izimo eziphuthumayo,Emergency Conditions
umbuso,government
isisebenzi,servant
umsebenzi,work
ayinalutho,It is empty
ukuphela,expiration
isitha,enemy
amandla,strength
umshado,wedding
thuthukisa,improve
ujabulele,enjoy
enkulu,major
ngokwanele,enough
qinisekisa,ensure
ukuzijabulisa,entertainment
ephelele,perfect
Ukungena,Entry
usomabhizinisi,businessman
ukungena,entry
imvilophu,envelope
imvelo,nature
isiqephu,piece
kulingana,equal
imishini,equipment
indaba,chronicle
kubalulekile,important
sungula,establish
linganisela,Be reasonable
ukuhwamuka,evasion
kusihlwa,evening
umcimbi,event
zonke,general
nsuku zonke,every day
konke,all
yonke indawo,all over
okubi,grim
ukuziphendukela kwemvelo,evolution
ngqo,exactly
ukuhlolwa,examination
isibonelo,illustration
kuhle kakhulu,It's so good
ngaphandle,exterior
ngaphandle,exterior
ukuzivocavoca,Exercise
umbukiso,exhibition
zikhona,are there
Phuma,Exit
andisa,multiply
lindela,anticipate
izindleko,cost
kuyabiza,It is expensive
isipiliyoni,experience
ukuhlola,examination
ukuphelelwa yisikhathi,expiry
chaza,explain
sobala,simplify
hlola,survey
ukuthekelisa,export
ukuchayeka,exposure
isisho,saying
andisa,multiply
ngaphandle,exterior
okwengeziwe,additional
okungajwayelekile,unusual
iso,eye
ukwenziwa,execution
olungaphambili lwesonto,front of the week
ubuso,feature
indawo,area
iqiniso,truth
ifektri,factory
ukwehluleka,failure
fair,Fair
ukholo,faith
ethembekile,reliable
mbumbulu,imperfire
umndeni,family
odumile,famous
kumnandi,fun
ipulazi,farm
ngokushesha,quickly
amafutha,fat
iphutha,mistake
enephutha,faulty
intandokazi,favorite
umusa,kindness
ukwesaba,fear
isici,fault
ukuzwa,sense
owesifazane,woman
ukuzala,breed
umanyolo,fertilizer
umkhosi,festival
imfiva,fever
umakoti,bride
inkambu,field
okokugcina,last
ezezimali,finance
ezezimali,finance
thola,find
kuhle,good
qeda,complete
izinhlanzi,fish
ukunambitheka,taste
imikhumbi,shaft
evumelana nezimo,Flexible
ntanta,float
uzamcolo,flood
phansi,down
ufulawa,flour
imbali,flower
ukuqephuza,arrogance
uketshezi,liquid
ndiza,fly
gxila,concentrate
ukudla,food
isiwula,fool
amandla,strength
ihlathi,forest
kuze kube phakade,forever
ukhohliwe,forgotten
isisekelo,basis
ukukhwabanisa,fraud
mahhala,free
qhwa,free
kusha,New
ukungqubuzana,collision
umngane,friend
ixoxo,frog
ngaphambili,front
izithelo,fruit
egcwele,full
ubumnandi,sweetness
ngokuqhubekayo,continuously
esizayo,not future
futhi,beside
igaraji,garage
ingadi,garden
ugaliki,garip
ingubo,dress
jikelele,general
ngokuvamile,generally
khiqiza,manufacture
isizukulwane,generation
okwangempela,real
thola,find
isipoki,ghost
isipho,gift
ijinja,ginger
intombazane,girl
ubukhazikhazi,illumination
ubukhazikhazi,illumination
global,global
imbulunga,globe
hamba,walk
imbuzi,goat
unkulunkulu,God
ngiya,I am going
kuhle,good
uhulumeni,government
bamba,catch
okusanhlamvu,grain
uhlelo lolimi,grammar
isibonelelo,allowance
utshani,grass
enkulu,major
ukubingelela,salute
igilosa,grocery
emhlabathini,ground
iqembu,group
khula,grow
ukukhula,increase
unogada,watchman
umnakekeli,guardian
isivakashi,tourist
umkhuba,practice
indawo yokuhlala,accommodation
ingxenye,part
okwenzekayo,occasion
eziyingozi,dangerous
isivuno,crop
inzondo,animosity
yena,he
ikhanda,head
isihloko,topic
impilo,health
yizwa,perceive
ukuzwa,sense
inhliziyo,heart
ukushisa,heat
Usizo,Help
usizo,help
isikhukhukazi,hen
lapha,here
ifa,inheritance
kufihliwe,Hidden
fihla,conceal
phezulu,up
umlando,history
bamba,catch
ebambe,capture
umgodi,cavity
iholidi,holiday
ekhaya,home
qotho,righteous
uju,honey
udumo,honor
esabekayo,horrid
ihhashi,horse
ukulima,farming
esibhedlela,hospital
ihostela,hostel
kushisa,hot
indlu,house
ekhaya,home
enkulu,major
womuntu,man
ezithobekile,humble
ezihlekisayo,comedical
ikhulu,hundred
elambile,hungry
ubuhlungu,pain
umyeni,husband
inhlanzeko,cleanliness
umqondo,mind
ekahle,ideal
efanayo,similar
ukuhlonza,identification
ubunikazi,ownership
nganaki,ignore
umthelela,import
ukubaluleka,importance
kubalulekile,important
akunakwenzeka,impossible
hlaba umxhwele,impress
ngcono,improved
ngcono,improved
ongcolile,unclean
anele,enough
isigameko,hamper
hlanganisa,compile
imali engenayo,net worth
engaphelele,imperfect
akulungile,wrong
ngokonakala,sinful
ukwanda,increase
emangalisayo,amazing
ezimele,independent
khombisa,demonstrate
umuntu ngamunye,each
imboni,industry
ithonya,influence
yazisa,inform
ulwazi,knowledge
eyokuqala,first
isinambuzane,insect
ngaphakathi,inwards
hlola,survey
ukuhlola,examination
ugqozi,enthusiasm
gqugquzela,mobilize
isikhungo,institute
isiyalo,discipline
ithuluzi,tool
umshwalense,insurance
ehlakaniphile,wise
okuphakathi,medium
ngamazwe ngamazwe,In international
interview,interview
amathumbu,intestine
ethula,introduce
isingeniso,Introduction
ukusungulwa,establishment
uphenyo,investigation
engabonakali,invisible
okungajwayelekile,unusual
ukuchelela,irrigation
udaba,issue
umona,envy
ubucwebe,jewelery
umsebenzi,work
ubuntatheli,journalism
uhambo,journey
ijaji,judge
gxuma,jump
ihlathi,forest
nje,now
ubulungisa,Justice
ukulungisiswa,justification
thumba,kidnap
bulala,kill
vutha,glow
ummese,knife
ulwazi,knowledge
nolwazi,and information
umsebenzi,work
umsebenzi,work
ladle,faded
umhlaba,territory
enkulu,major
okokugcina,last
sekwephuzile,late
hleka,laugh
umholi,leader
ehamba phambili,best
funda,read
ukufunda,reading
isikhumba,skin
hamba,walk
ehamba,travel
inkulumo,address
kwesokunxele,left
umlenze,leg
okusemthethweni,formal
ubude,length
incwadi,book
icala,blame
inkululeko,freedom
amanga,lie
ukuphila,life
umkhawulo,limit
umugqa,line
ibhubesi,lion
uketshezi,liquid
kancane,slightly
abaphilayo,the living
isibankwa,lizard
thola,find
indawo,area
eside,long
bheka,look
ilahlekile,lost
ezithandekayo,lovely
uthando,love
phansi,down
inhlanhla,fortune
imithwalo,luggage
isidlo sasemini,lunch
iphaphu,lung
ukunethezeka,luxury
hlanya,passure
iyagcinwa,is kept
ummbila,corn
iningi,majority
ukwenza,performance
izilwane ezincelisayo,mammals
indoda,man
phatha,manage
abaphathi,Managers
umphathi,commander
imanuwali,dianuary
ukukhiqiza,generation
abaningi,many
imakethe,market
umshado,wedding
impahla,property
esiphezulu,senior
mina,me
incazelo,meaning
isilinganiso,measure
ukulinganisa,measurement
ezokwelapha,Medical Medical
umuthi,wood
hlangana,encounter
ncibilika,thaw
ukuya esikhathini,menstruation
ngokwengqondo,mentally
umyalezo,message
insimbi,steel
indlela,direction
phakathi,inside
umfuduki,sentiment
ubisi,milk
amaminerali,minerals
ubuncane,minimum
isimangaliso,wonder
ziphathe kabi,behave
umcibisholo,arrow
engekho,no
iphutha,mistake
okuxubile,mixture
maphakathi,middle
ukulinganisela,moderation
imali,money
inkawu,monkey
inyanga,month
ekuseni,morning
umiyane,mosquito
umama,mother
ugqozi,enthusiasm
intaba,mountain
intaba,mountain
umlomo,mouth
umsipha,muscle
umculo,music
kufanele,should
lwesinaphi,mustard
okwami,For my
imfihlakalo,mystery
nqunu,naked
igama,name
landisa,recite
ukulandisa,narration
umxoxi,interview
emincane,minor
owomdabu,indigenous
yemvelo,natural
imvelo,nature
naughty,naughty
eduze,close
icocekile,tidy
isidingo,necessity
intamo,neck
isidingo,necessity
ukunganakwa,apathy
#NAME?,#NAME?
xoxisana,communicate
noma,or
ethukile,shock
inethiwekhi,network
neze,never
okusha,new
Olandelayo,Next
umshana,nephew
ebusuku,night
cha,no
umsindo,noise
evamile,general
hhayi,not
lutho,anything
manje,now
inombolo,number
umsoco,nutrient
umsoco,nutrient
into,thing
ukuqaphela,awareness
qaphela,watch
umsebenzi,work
zenzeka,occur
ulwandle,ocean
ecasulayo,irritating
umnikelo,offer
ihhovisi,office
endala,old
ku,in
u-anyanini,Aneni
kuphela,only
ukuvula,opening
sebenza,operate
umbono,opinion
ithuba,opportunity
okuphambene,contrary
inketho,option
noma,or
ukuhleleka,order
isitho,organ
eziphilayo,Organics
inhlangano,organization
okwangempela,real
umhlobiso,decoration
intshe,ostrich
okunye,else
okwakho,yours
umnikazi,banker
iphasela,parcel
i-paddy,paddy
ubuhlungu,pain
okubuhlungu,tragic
ukudweba,scratch
bhangqa,pair
uvalo,fright
umzali,parent
ipaki,park
upholi,parrot
ngokwengxenye,partially
umhlanganyeli,participant
ukubamba iqhaza,participation
izinhlayiyana,particles
ikakhulukazi,mainly
ukwahlukanisa,divorce
iphaseji,parasite
nothando,and love
indlela,direction
ukubekezela,patience
isiguli,patient
inkokhelo,wages
ukuthula,peace
inhlawulo,compensation
okulindile,pending
penguin,penguin
impesheni,pension
abantu,people
ephelele,perfect
ukusebenza,operation
amakha,fragrance
imvume,consent
umuntu,person
ukhukhamba,cucumbers
ipikiniki,picnic
ijuba,dove
indawo,area
iplanethi,planet
isitshalo,plant
dlala,play
Ngiyacela,Please
injabulo,happiness
inala,abundance
amaphoyisa,police
ezombusazwe,politicism
ukungcola,dirt
mpofu,poor
edumile,famous
inani labantu,population
isikhundla,position
positive,positive
kungenzeka,possibly
hlehlisa,rewind
izambane,potato
okungenzeka,probability
izitsha zobumba,pottery
ubumpofu,poverty
enamandla,strong
ezingokoqobo,reality
dumisa,worship
umthandazo,prayer
yigugu,precious
ukunemba,accuracy
ukhulelwe,conceived
ukulungiselela,preparation
isethulo,contribution
ukulondolozwa,preservation
ingcindezi,pressure
muhle,beautiful
vimbela,prevent
edlule,past
intengo,price
ukuziqhenya,pride
inkosana,heir
ubumfihlo,Privacy is privacy
okuyimfihlo,confidential
ilungelo,privilege
inkinga,problem
inqubo,procedure
khiqiza,manufacture
ukukhiqiza,generation
uprofesa,professor
inzuzo,profit
inqubekelaphambili,progress
nqabela,bar
evelele,outstanding
ukukhushulwa,promotion
efanele,relevant
impahla,property
phakamisa,raise
isifebe,whore
isivikelo,armor
uyaziqhenya,she is proud
fakazela,vindicate
ukucunula,irritation
Psychology,Psychology
umphakathi,community
Donsa,Haul
isijeziso,penalty
ukuthenga,buy
msulwa,pure
ukuhlanzwa,cleansing
inhloso,aim
abafanelekile,They are not eligible
izinga,degree
ubuningi,abundance
ukuzivalela,shut
ngokushesha,quickly
ngokushesha,quickly
umpheme,screen
yeka,cease
impela,altogether
imibuzo,Questions
unogwaja,rabbit
uhlanga,group
imvula,rain
phakamisa,raise
okungajwayelekile,unusual
finyelela,arrive
asabele,webade
ngomumo,ready
okwangempela,real
thola,find
okwakamuva,latest
iresiphi,recipe
irekhodi,record
ukululama,recovery
nciphisa,decrease
ireferensi,reference
lesifunda,region
ukubhaliswa,registration
ukuzisola,repentance
njalo,ever
nqaba,object
ezihlobene,Related
khulula,liberate
efanele,relevant
inkolo,cult
khumbula,remember
khumbuza,remind
susa,move
qasha,lease
ukulungisa,repair
phinda,repeat
buyisela,return
phendula,answer
ukukhiqiza kabusha,re-producing
ezihuquzelayo,irritate
ukwenyanya,disgust
isicelo,application
ucwaningo,research
indawo yokuhlala,accommodation
insiza,service
inhlonipho,manners
phendula,answer
impendulo,response
phumula,retire
khawula,limit
umhlalaphansi,retirement
buyela,enclose
ukuziphindiselela,retribution
imali engenayo,net worth
hlehla,reverse
ukubuyekeza,revision
ocebile,rich
gibela,climb
kwesokudla,right
vuka,arise
ingozi,risk
ukugebenga,rash
ezothando,romantic
igumbi,room
intambo,string
zungeza,circle
nxazonke,around
luhlaza,green
gijima,run
emaphandleni,rural areas
umhlatshelo,victim
lusizi,grief
ukuphepha,safety
sage,sage
hamba ngomkhumbi,sail
ongcwele,Holy
iholo,pay
usawoti,salt
okufanayo,same
isampula,sample
isihlabathi,sand
ukwaneliseka,satisfaction
gcina,retain
umkhonyovu,scam
isikole,school
isayensi,science
ububanzi,extent
Umphumela,Result
isikrini,screen
umbhalo,writing
pheqa,fold
ulwandle,ocean
sesha,search
isizini,season
imfihlo,secret
ivikelekile,secure
bona,perceive
imbewu,seed
funa,require
khetha,select
uqobo,himself
ukusiqhenya,proud
thengisa,demonstrate
thumela,send
omdala,elder
umqondo,mind
enengqondo,reasonable
ebucayi,sensitivity
umusho,sentence
hlukana,part
sina,dance
inceku,steward
isevisi,service
qhaqhazela,vibrate
umumo,state
ukwabelana,communion
ebukhali,sharp
isihlangu,shield
esitolo,to the store
kufanele,should
umbukiso,exhibition
ishawa,shower
isihlahla,tree
enamahloni,rocky
abagulayo,illness
ohlangothini,side
okubalulekile,Important
athule,silent
ezifanayo,similar
ongashadile,singular
usisi,smoke
hlala,abide
indawo,area
usayizi,size
ikhono,skill
isikhumba,skin
lala,sleep
umthambeka,slope
kancane,slightly
encane,small
iphunga,fragrance
mamatheka,smile
bushelelezi,smooth
inyoka,snake
rhona,rhona
ngakho,therefore
social,Social
umphakathi,community
ethambile,soft
inhlabathi,soil
okuqinile,steady
abanye,others
okuthile,something
maduze,soon
umsindo,noise
isikhala,space
undlunkulu,sparrow
khuluma,speak
ekhethekile,specialty
inkulumo,address
isivinini,speed
chitha,spend
esetshenzisiwe,used
isidoda,sperm
ezemidlalo,Sports
yima,stop
isitatimende,statement
hlala,abide
umusi,steam
isisu,pregnancy
itshe,stone
Ima,Stop
indaba,chronicle
isihambi,stranger
isu,strategy
umgwaqo,road
amandla,strength
eqinile,steady
umzabalazo,struggle
umfundi,student
bhalisa,enroll
into,thing
impumelelo,success
enjalo,such
ngokuzumayo,suddenly
ezanele,adequate
umoba,cane
phakamisa,raise
ukuzibulala,suicide
ezifanele,relevant
isamba,sum
ihlobo,summer
ilanga,sun
ubhekilanga,sunflower
eliphezulu,high
umphathi,commander
engeza,add
hlinzeka,provide
ukusekela,support
ukumangala,amazement
nikela,devote
misa okwesikhashana,Pause temporarily
shintsha,change
ukuvuvukala,swelling
bhukuda,bathe
thatha,take
ithalente,talent
khuluma,speak
mude,tall
ukunambitha,taste
intela,tax
fundisa,preach
uthisha,teacher
iqembu,group
ezobuchwepheshe,technical
osemusha,teen
amazinyo,teeth
tshela,inform
izinga lokushisa,temperature
ithempeli,temple
okwesikhashana,for a while
ukungezwani,difference
ithende,tent
kabi,extremely
amaphekula,terrorist
ngiyabonga,thank you
lokho,that
bese,then
Lapho,There
lezi,these
obukhulu,thick
mncane,thin
into,thing
lokhu,this
umucu,fiber
injabulo,happiness
umphimbo,throat
igagasi,wave
ingwe,leopard
isikhathi,time
isihloko,topic
namuhla,today
ndawonye,together
indlu yangasese,toilet
utamatisi,tomato
kusasa,tomorrow
ulimi,language
ingqikithi,volume
ukuvakasha,tourism
ezokuvakasha,tourism
idolobha,city
ukuqeqeshwa,training
ukudlulisa,appeal
uguquko,change
ukuhumusha,translation
dlulisa,transfer
obala,openly
ezokuthutha,Transport
ukuhamba,walk
umcebo,affluence
phatha,manage
ukwelashwa,treatment
umuthi,wood
umkhuba,practice
wazama,he tried
uhambo,journey
inkathazo,trouble
ukwethemba,confidence
iqiniso,truth
zama,try
umhubhe,avenue
phenduka,rotate
ufudu,tortoise
kabili,twice
kubi,worse
isambulela,umbrella
ngaphansi,below
umfaniswano,uniform
indawo yonke,universe
inyuvesi,university
engabonakali,invisible
phezulu,up
buyekeza,revise
phezulu,up
emadolobheni,In the cities
kuyaphuthuma,It is urgent
sebenzisa,spend
wusizo,useful
usizo,help
isikhala,space
phuma,exit
iholidi,holiday
ukugoma,immune
vacuum,vacuum
qinisekisa,ensure
umhwamuko,vapor
ukushintshashintsha,fluctuate
ezihlukahlukene,a variety of
vase,vase
imifino,vegetable
odla imifino,who eats vegetables
imoto,car
umthambo,fiber
qinisekisa,ensure
mpo,vertical
kakhulu,too
ukunqoba,victory
buka,contemplate
enamandla,strong
isigodi,valley
amagilebhisi,grapes
udlame,violence
enodlame,violent
intombi,girl
ubuntombi,virst
ukubonakala,appearance
ebonakalayo,visible
vakashela,visit
isivakashi,tourist
ivithamini,Vitamin
ubizo,vocation
izwi,voice
hlanza,clean
ukuhlanza,cleaning
abasengozini,vulnerable
iholo,pay
linda,guard
vuka,arise
hamba,walk
ukuhamba,walk
udonga,ravine
funa,require
abafuna,prospective
impi,war
efudumele,warm
xwayisa,alert
isixwayiso,alert
imfucuza,fever
amanzi,water
thina,us
buthaka,weak
ingcebo,wealth
abacebile,The rich
gqoka,wear
isimo sezulu,weather
umshado,wedding
isonto,church
masonto onke,every week
isisindo,weight
wamukelekile,you are welcome
inhlalakahle,health
kahle,well
wahamba,he went
manzi,feeble
ini,what are you
ukolweni,wheat
nini,when
lapho,there
mhlophe,whitle
ephelele,perfect
ngani,why
ububanzi,extent
unkosikazi,wife
zasendle,awn
izilwane zasendle,wild animals
intando,will
nqoba,conquer
umoya,spirit
iwayini,wine
owinile,winners
ukunqoba,victory
ubusika,winter
fisa,wish
owesifazane,woman
zibuze,ask yourself
ukhuni,wood
uvolo,wool
izwi,voice
umsebenzi,work
isisebenzi,servant
ukusebenza,operation
umhlaba,territory
isibungu,maggot
ekhathazekile,distressed
ukukhonza,worship
okubi kakhulu,even worse
bhala,write
umbhali,author
ukubhala,writing
okungalungile,wrong
ntambo,thread
minyaka yonke,annually
yebo,yes
izolo,yesterday
Veza,Produce
ukuhoxa,withdrawal
wena,you
abasha,youth
lakho,your
ngokwakho,yourself
ubusha,youth
ubusha,youth
sondeza,libel
